Date;coke;pep;apple;micro
02/10/2000;27.06193161;13.55172157;32.75;1.043001652
03/10/2000;27.74448013;13.64006615;32.5;1.080587149
04/10/2000;28.18722343;13.3927021;31.5;1.118172884
05/10/2000;27.52313042;13.46337509;31.75;1.127569199
06/10/2000;27.20951653;13.55172157;35;1.118172884
09/10/2000;27.08039474;13.48104763;35.6875;1.10877645
10/10/2000;27.48622704;13.86975002;36.53125;1.085285306
11/10/2000;27.52313042;14.20746803;34.25;1.071190715
12/10/2000;26.82212448;14.11877728;32.125;1.019510627
13/10/2000;26.85902405;14.26068211;31.875;1.118172884
16/10/2000;27.20951653;14.3138895;33.625;1.099379897
17/10/2000;26.8959198;14.61542416;31.875;1.047699809
18/10/2000;26.8959198;14.47352695;31.8125;1.071190715
19/10/2000;26.26872063;13.83498955;32.75;1.089983582
20/10/2000;25.75219154;13.85272884;32.5;1.085285306
23/10/2000;26.50853348;13.99462795;33.5625;1.122870922
24/10/2000;26.58232307;13.9768858;35.75;1.071190715
25/10/2000;26.60076141;14.59768772;35.75;1.038303256
26/10/2000;27.20951653;14.49126053;35;1.038303256
27/10/2000;27.59690666;14.66863823;35.125;1.019510627
30/10/2000;28.03962898;15.32491684;30;1.089983582
31/10/2000;28.51926804;14.98790073;29;1.038303256
01/11/2000;28.07653618;15.00564384;28.625;1.028906822
02/11/2000;28.02120209;15.18301296;29.4375;1.019510627
03/11/2000;28.00274849;14.97017002;28.875;0.977226794
06/11/2000;28.74062538;14.93469143;29;1.033605099
07/11/2000;28.61149788;14.84600544;27.625;1.033605099
08/11/2000;28.72218513;14.89922333;27.125;1.005415916
09/11/2000;28.74062538;14.86373997;27.28125;1.01481235
10/11/2000;28.03962898;14.9169569;26.3125;0.95256108
13/11/2000;27.98430443;14.54447079;24.125;0.930244565
14/11/2000;28.03962898;14.43804932;28.265625;0.977226794
15/11/2000;28.15032959;15.11206627;31.6875;0.958433807
16/11/2000;28.13187027;15.00564384;29.25;0.9678303
17/11/2000;28.33479691;14.79279518;29.625;0.934942782
20/11/2000;27.92896652;14.95242977;27.875;0.897357106
21/11/2000;28.59306908;15.28943443;28.984375;0.887960672
22/11/2000;28.63041878;15.20075321;26.625;0.836280465
24/11/2000;28.63041878;15.05885792;27.5;0.855073452
27/11/2000;29.65761375;15.04111576;27.5;0.878564417
28/11/2000;29.54555321;15.53775024;25.625;0.911451697
29/11/2000;29.91907883;15.82154942;25.625;0.836280465
30/11/2000;29.84438705;15.626441;23.3125;0.779901922
01/12/2000;29.76967049;15.00564384;23.125;0.906753659
04/12/2000;31.37582588;15.3426466;21.625;0.845676839
05/12/2000;34.84955597;15.25395966;23.6875;0.864469707
06/12/2000;34.40134048;14.52673244;24.25;0.873866081
07/12/2000;34.27060699;14.49126053;23.8125;0.85977155
08/12/2000;34.94293213;14.10104465;23.875;0.887960672
11/12/2000;34.43867874;14.20746803;23.25;0.939640999
12/12/2000;34.02781677;14.2429409;21.625;0.939640999
13/12/2000;34.00912476;14.7041111;21.75;0.9678303
14/12/2000;33.16872025;13.65761948;22.25;0.939640999
15/12/2000;33.52355957;13.28513241;22.0625;0.939640999
18/12/2000;34.25192642;14.06557655;25.5625;0.939640999
19/12/2000;33.99046707;14.27841377;23.6875;0.949037433
20/12/2000;33.74766922;13.85272884;22.875;1.052397847
21/12/2000;33.67296982;13.65761948;24.625;1.043001652
22/12/2000;33.69164658;13.44476891;27.8125;1.104078054
26/12/2000;34.36399841;13.67535591;25;1.122870922
27/12/2000;35.61529541;13.7817812;25.875;1.127569199
28/12/2000;36.43703842;13.76403904;25.25;1.118172884
29/12/2000;36.00749207;13.74630451;24.25;1.136965632
02/01/2001;35.61529541;13.65761948;22.5;1.052397847
03/01/2001;35.20440674;13.35608673;24.625;1.132267475
04/01/2001;35.55924988;12.13222313;22.625;1.23562789
05/01/2001;34.23325348;12.2031641;20.25;1.226231456
08/01/2001;34.43867874;12.07901096;16.5;1.221533418
09/01/2001;33.8970871;12.34506702;16.3125;1.221533418
10/01/2001;33.56092072;12.13199902;19.25;1.315497398
11/01/2001;33.50489044;11.98947811;19.5625;1.315497398
12/01/2001;32.77651978;12.41703701;19.75;1.348384619
16/01/2001;33.91576767;12.82678604;21.5;1.343686819
17/01/2001;32.86989594;12.61300087;22;1.385970354
18/01/2001;32.57108307;12.84459686;22.0625;1.385970354
19/01/2001;31.89874268;12.55955887;20.9375;1.376574039
22/01/2001;32.533741;12.59518719;19.4375;1.376574039
23/01/2001;33.16872025;12.54173946;19.125;1.390668631
24/01/2001;32.01079559;12.3279562;18.5;1.390668631
25/01/2001;32.72050095;13.00492859;18.875;1.390668631
26/01/2001;32.06682968;13.16527271;19.125;1.394192219
29/01/2001;32.06010437;12.95505428;18.375;1.367177725
30/01/2001;33.2882576;12.84103775;23.0625;1.361304879
31/01/2001;33.06412125;12.78688049;22.5625;1.362479329
01/02/2001;33.3330574;13.11182022;24.5;1.390668631
02/02/2001;32.49040985;12.97215271;25.453125;1.503425598
05/02/2001;32.80116653;13.20589161;26.875;1.550407648
06/02/2001;33.36594391;13.44531822;29.0625;1.578597069
07/02/2001;33.43167496;13.55648804;29;1.59269166
08/02/2001;33.4824791;13.76455879;28;1.634975195
09/02/2001;33.06712341;13.79591846;25.9375;1.569200516
12/02/2001;33.61096191;14.10946751;27.9375;1.578597069
13/02/2001;34.10699844;13.58498669;27.0625;1.625579
14/02/2001;33.15977097;13.51372719;27.75;1.681957483
15/02/2001;34.28927994;13.66764832;27.125;1.724241376
16/02/2001;33.83210373;13.82442379;26.8125;1.67256093
20/02/2001;34.01737213;13.87288284;28.3125;1.681957483
21/02/2001;33.60058594;14.25197792;29.375;1.653768301
22/02/2001;33.29557419;14.23772717;26.375;1.639673591
23/02/2001;33.34088898;13.93844128;25.5625;1.691353679
26/02/2001;33.62778091;14.02394581;25.25;1.794714212
27/02/2001;34.12607956;13.85863018;21.875;1.738335848
28/02/2001;34.05059433;13.96409321;22.75;1.724241376
01/03/2001;33.09929276;14.20352459;22;1.67256093
02/03/2001;33.6217308;14.16076565;20.5;1.747732162
